34,Alexey Raga,"Type classes 101: Classification beyond inheritance"
35,Eric Torreborre,"Specs2 3.x"
35,Mark Hibberd,"Logging without Tradeoffs"
35,Jed Wesley-Smith,"Free Stuff!"
36,Jacob Stanley,"Get off my tail: rethinking tail calls on the JVM"
36,Alex Hennecke,"Performance Numbers for Free"
36,Ashley Valent,"Monads don't compose. Free ones do"
37,Mathew Johnson,"A Parsing Fancy: Parser Combinators in Scala"
37,Simon Gerber,"A Parsing Fancy: Parser Combinators in Scala"
37,Karl Roberts,"My First Useful SBT Plugin"
37,Arnold deVos,"Wrap your imperative POJOs in Functions"
38,Tim McGilchrist,"Scala's Modular Roots"
38,Tony Sloane,"Using LLVM from Scala"
38,Filippo Vitale,"Let’s mash 2 monads to solve a simple CSP"
39,Eric Torreborre,"Origami, monadic folds for Scala  "
39,Ngoc Dao,"i18n à la gettext"
39,Conor Svensson,"Scala for Business Automation - Solving Real Business Problems with Streams, POI and a dash of BDD"
40,Jamie Allen,"The Java Memory Model and the Mutability Matrix of Pain"
40,Mark Hibberd,"Breaking Point: Building Scalable, Resilient APIs"
40,Oliver Daff,"Functor, Apply, Applicative, Bind and Monad"
41,Matt Roberts,"Compiled vs Interpreted Pattern Matching"
41,Karl Roberts,"How I invented Lenses"
41,Jed Wesley-Smith,"An introduction to Propositions as Types"
42,Mark Hibberd,"Conservative Language Use For Fun and Profit"
42,Charles O'Farrell,"Life Without Stacktraces"
42,Sam Reis,"Hash Functions as Monoid Homomorphisms"
43,Arnold deVos,"Type Member vs Type Parameter: Which? Why?"
43,Tin Pavlinic,"Shapeless hacking - exploring the power of the Dark Side"
43,Alex Hennecke,"data streams at the core"
44,Mark Hopkins,"Macro-based smart constructors"
44,Christopher Hunt,"What the hell is Lightbend?"
44,Max Leythaeuser,"Pure Embedding of Dynamic Objects"
45,Mark Hibberd,"Don't Fear The Parser"
45,Matt Roberts,"The Expression Problem, Trivially"
45,Sean Seefried,"Writing games for Android in Haskell"
